sex,subject,stem,provider,ukprn,region,yag,paye,polar,pa
Female,"Agriculture, food and related studies",STEM,Askham Bryan College,10000415,Yorkshire and the Humber,1,15700,11.8,177.5
Female,"Agriculture, food and related studies",STEM,Bishop Burton College,10000721,Yorkshire and the Humber,1,12800,4.9,200.3703704
Female,"Agriculture, food and related studies",STEM,Sparsholt College,10006050,South East,1,14600,28.9,210
Female,"Agriculture, food and related studies",STEM,Warwickshire College,10007859,West Midlands,1,17200,17.1,209.7777778
Female,"Agriculture, food and related studies",STEM,Aberystwyth University,10007856,Wales,1,15700,0,244.2776253
Female,"Agriculture, food and related studies",STEM,Anglia Ruskin University,10000291,East of England,1,14200,6.2,213.9780702
Female,"Agriculture, food and related studies",STEM,Cardiff Metropolitan University,10007854,Wales,1,21400,17.6,244.2776253
Female,"Agriculture, food and related studies",STEM,Liverpool John Moores University,10003957,North West,1,19700,0,236.3049096
Female,"Agriculture, food and related studies",STEM,Royal Agricultural University,10005545,South West,1,19700,9,244.4444444
Female,"Agriculture, food and related studies",STEM,Sheffield Hallam University,10005790,Yorkshire and the Humber,1,21500,10.8,239.4481481
Female,"Agriculture, food and related studies",STEM,The Nottingham Trent University,10004797,East Midlands,1,15000,14.8,245.0845411
Female,"Agriculture, food and related studies",STEM,The Royal Veterinary College,10007779,London,1,16800,13.6,335.8333333
Female,"Agriculture, food and related studies",STEM,The University of Central Lancashire,10007141,North West,1,16100,2.9,230.8014184
Female,"Agriculture, food and related studies",STEM,The University of Greenwich,10007146,London,1,16400,26.1,214.4489612
Female,"Agriculture, food and related studies",STEM,The University of Lincoln,10007151,East Midlands,1,15700,18.6,242.1354167
Female,"Agriculture, food and related studies",STEM,The University of Reading,10007802,South East,1,23000,8.5,298.8288288
Female,"Agriculture, food and related studies",STEM,University College Birmingham,10000712,West Midlands,1,20300,7.1,196
Female,"Agriculture, food and related studies",STEM,University of Chester,10007848,North West,1,12800,15.8,234.1534392
Female,"Agriculture, food and related studies",STEM,University of Newcastle-upon-Tyne,10007799,North East,1,20400,7.7,323.115942
Female,"Agriculture, food and related studies",STEM,University of Nottingham,10007154,East Midlands,1,22300,7.2,330.3773585
Female,"Agriculture, food and related studies",STEM,University of Plymouth,10007801,South West,1,16100,11.1,247.3863636
