time_period,time_identifier,geographic_level,country_code,country_name,sex,subject_name,inst_type,provider_name,ukprn,xinstc01,inst_region,current_region,grads_1YAG,unmatched_percent_1YAG,overseas_percent_1YAG,matched_1YAG,activity_not_captured_1YAG,no_sust_dest_1YAG,sust_emp_only_1YAG,sust_emp_with_or_without_fs_1YAG,sust_emp_fs_or_both_1YAG,grads_3YAG,unmatched_percent_3YAG,overseas_percent_3YAG,matched_3YAG,activity_not_captured_3YAG,no_sust_dest_3YAG,sust_emp_only_3YAG,sust_emp_with_or_without_fs_3YAG,sust_emp_fs_or_both_3YAG,grads_5YAG,unmatched_percent_5YAG,overseas_percent_5YAG,matched_5YAG,activity_not_captured_5YAG,no_sust_dest_5YAG,sust_emp_only_5YAG,sust_emp_with_or_without_fs_5YAG,sust_emp_fs_or_both_5YAG,PAYE_earnings_include_1YAG,PAYE_earnings_LQ_1YAG,PAYE_earnings_median_1YAG,PAYE_earnings_UQ_1YAG,PAYE_earnings_include_3YAG,PAYE_earnings_LQ_3YAG,PAYE_earnings_median_3YAG,PAYE_earnings_UQ_3YAG,PAYE_earnings_include_5YAG,PAYE_earnings_LQ_5YAG,PAYE_earnings_median_5YAG,PAYE_earnings_UQ_5YAG,total_earnings_include_1YAG,total_earnings_LQ_1YAG,total_earnings_median_1YAG,total_earnings_UQ_1YAG,total_earnings_include_3YAG,total_earnings_LQ_3YAG,total_earnings_median_3YAG,total_earnings_UQ_3YAG,total_earnings_include_5YAG,total_earnings_LQ_5YAG,total_earnings_median_5YAG,total_earnings_UQ_5YAG,POLAR_num_included_1YAG,POLAR_percent_1YAG,POLAR_num_included_3YAG,POLAR_percent_3YAG,POLAR_num_included_5YAG,POLAR_percent_5YAG,PA_num_included_1YAG,PA_median_1YAG,PA_num_included_3YAG,PA_median_3YAG,PA_num_included_5YAG,PA_median_5YAG,PA_rank_1YAG,PA_rank_3YAG,PA_rank_5YAG,PA_band_1YAG,PA_band_3YAG,PA_band_5YAG,POLAR_include_percent_1YAG,POLAR_include_percent_3YAG,POLAR_include_percent_5YAG,PA_include_percent_1YAG,PA_include_percent_3YAG,PA_include_percent_5YAG
201718,Tax year,National,K03000001,Great Britain,Female,"Agriculture, food and related studies",Further Education College,Askham Bryan College,10000415,England,Yorkshire and the Humber,All,45,0,0,45,4.4,11.1,80,82.2,84.4,45,0,0,45,0,9.3,88.4,90.7,90.7,40,2.7,0,40,13.9,5.6,77.8,80.6,80.6,35,12800,15700,17500,35,14200,17000,21500,30,15700,17000,26600,35,11700,15700,17500,35,14200,17000,21500,30,15600,16800,24200,20,11.8,20,22.2,20,12.5,5,200,10,200,10,220,0.7,0.7,0.5,2,2,2,37.8,41.9,44.4,11.1,18.6,25
201718,Tax year,National,K03000001,Great Britain,Female,"Agriculture, food and related studies",Further Education College,Bishop Burton College,10000721,England,Yorkshire and the Humber,All,70,1.5,0,70,1.5,3,83.3,87.9,95.5,90,2.3,0,90,5.8,4.7,80.2,87.2,89.5,30,0,0,30,3.3,10,83.3,86.7,86.7,50,11300,12800,17500,65,13900,16400,21200,25,16100,19700,25200,55,11300,12800,17200,70,13100,15700,20100,25,15600,19500,24100,45,4.9,65,12.7,15,14.3,25,220,40,200,10,160,0.6,0.7,0.9,2,2,3,62.1,73.3,46.7,34.8,41.9,33.3
201718,Tax year,National,K03000001,Great Britain,Female,"Agriculture, food and related studies",Further Education College,BMC (Brooksby Melton College),10000952,England,East Midlands,All,20,0,0,20,6.2,0,75,81.2,93.8,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,15,12000,15500,17800,c,c,c,c,c,c,c,c,15,12000,15500,17800,c,c,c,c,c,c,c,c,10,11.1,c,c,c,c,5,193.3333333,c,c,c,c,0.8,c,c,3,c,c,56.2,c,c,18.8,c,c
201718,Tax year,National,K03000001,Great Britain,Female,"Agriculture, food and related studies",Further Education College,Bridgwater and Taunton College,10000878,England,South West,All,c,c,c,c,c,c,c,c,c,15,0,0,15,6.7,13.3,73.3,80,80,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,10,12.5,c,c,c,c,5,220,c,c,c,0.5,c,c,2,c,c,53.3,c,c,33.3,c
201718,Tax year,National,K03000001,Great Britain,Female,"Agriculture, food and related studies",Further Education College,Cornwall College,10001696,England,South West,All,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
201718,Tax year,National,K03000001,Great Britain,Female,"Agriculture, food and related studies",Further Education College,Grimsby Institute of Further and Higher Education,10007938,England,Yorkshire and the Humber,All,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
201718,Tax year,National,K03000001,Great Britain,Female,"Agriculture, food and related studies",Further Education College,Guildford College of Further and Higher Education,10002815,England,South East,All,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
201718,Tax year,National,K03000001,Great Britain,Female,"Agriculture, food and related studies",Further Education College,Hadlow College,10002843,England,South East,All,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,50,0,0,50,2.2,6.5,78.3,91.3,91.3,c,c,c,c,c,c,c,c,35,14200,17900,22600,c,c,c,c,c,c,c,c,35,14200,17500,21500,c,c,c,c,25,20,c,c,c,c,10,220,c,c,0.5,c,c,2,c,c,54.3,c,c,17.4
201718,Tax year,National,K03000001,Great Britain,Female,"Agriculture, food and related studies",Further Education College,Leeds City College,10024962,England,Yorkshire and the Humber,All,c,c,c,c,c,c,c,c,c,15,0,0,15,0,8.3,83.3,91.7,91.7,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,5,50,c,c,c,c,5,200,c,c,c,0.7,c,c,2,c,c,16.7,c,c,8.3,c
201718,Tax year,National,K03000001,Great Britain,Female,"Agriculture, food and related studies",Further Education College,Moulton College,10004442,England,East Midlands,All,20,0,0,20,5,10,75,80,85,15,0,0,15,0,0,91.7,100,100,c,c,c,c,c,c,c,c,c,15,15700,19700,20800,15,11300,17900,30700,c,c,c,c,15,14600,19700,20800,15,11300,17900,30700,c,c,c,c,10,10,10,16.7,c,c,10,210,5,90,c,c,0.7,1,c,2,3,c,50,50,c,30,25,c
